"date","sku","product_name","category","supplier","sales","current_stock","in_transit","lead_time_days","unit_price"
"2025-10-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","238","175","70","16","9.25"
"2025-10-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","142","205","48","11","4.99"
"2025-10-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","374","280","165","8","7.25"
"2025-10-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","329","95","110","10","3.49"
"2025-11-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","456","610","240","9","6.49"
"2025-11-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","196","165","96","12","11.99"
"2025-11-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","282","310","130","14","5.79"
"2025-11-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","158","120","80","21","13.5"
"2025-11-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","228","175","70","16","9.25"
"2025-11-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","136","205","48","11","4.99"
"2025-11-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","484","280","165","8","7.25"
"2025-11-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","425","95","110","10","3.49"
"2025-12-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","437","610","240","9","6.49"
"2025-12-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","187","165","96","12","11.99"
"2025-12-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","270","310","130","14","5.79"
"2025-12-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","151","120","80","21","13.5"
"2025-12-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","262","175","70","16","9.25"
"2025-12-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","156","205","48","11","4.99"
"2025-12-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","463","280","165","8","7.25"
"2025-12-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","407","95","110","10","3.49"
"2026-01-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","416","610","240","9","6.49"
"2026-01-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","178","165","96","12","11.99"
"2026-01-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","258","310","130","14","5.79"
"2026-01-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","144","120","80","21","13.5"
"2026-01-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","208","175","70","16","9.25"
"2026-01-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","124","205","48","11","4.99"
"2026-01-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","327","280","165","8","7.25"
"2026-01-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","288","95","110","10","3.49"
"2026-02-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","498","610","240","9","6.49"
"2026-02-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","213","165","96","12","11.99"
"2026-02-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","308","310","130","14","5.79"
"2026-02-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","172","120","80","21","13.5"
"2026-02-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","249","175","70","16","9.25"
"2026-02-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","148","205","48","11","4.99"
"2026-02-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","391","280","165","8","7.25"
"2026-02-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","344","95","110","10","3.49"
"2026-03-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","478","610","240","9","6.49"
"2026-03-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","205","165","96","12","11.99"
"2026-03-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","296","310","130","14","5.79"
"2026-03-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","165","120","80","21","13.5"
"2026-03-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","239","175","70","16","9.25"
"2026-03-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","142","205","48","11","4.99"
"2026-03-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","376","280","165","8","7.25"
"2026-03-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","24","95","110","10","3.49"
"2026-04-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","458","610","240","9","6.49"
"2026-04-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","196","165","96","12","11.99"
"2026-04-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","283","310","130","14","5.79"
"2026-04-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","158","120","80","21","13.5"
"2026-04-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","229","175","70","16","9.25"
"2026-04-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","136","205","48","11","4.99"
"2026-04-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","360","280","165","8","7.25"
"2026-04-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","316","95","110","10","3.49"
"2026-05-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","437","610","240","9","6.49"
"2026-05-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","187","165","96","12","11.99"
"2026-05-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","271","310","130","14","5.79"
"2026-05-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","151","120","80","21","13.5"
"2026-05-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","219","175","70","16","9.25"
"2026-05-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","130","205","48","11","4.99"
"2026-05-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","344","280","165","8","7.25"
"2026-05-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","302","95","110","10","3.49"
"2026-06-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","417","610","240","9","6.49"
"2026-06-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","179","165","96","12","11.99"
"2026-06-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","258","310","130","14","5.79"
"2026-06-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","144","120","80","21","13.5"
"2026-06-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","208","175","70","16","9.25"
"2026-06-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","124","205","48","11","4.99"
"2026-06-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","327","280","165","8","7.25"
"2026-06-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","288","95","110","10","3.49"
